"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2003","All countries and international organisations","Services total","Euro Million","37133"
"Exports of Services","2003","All countries and international organisations","Transport","Euro Million","1708"
"Exports of Services","2003","All countries and international organisations","Tourism and travel","Euro Million","3409"
"Exports of Services","2003","All countries and international organisations","Communications","Euro Million","622"
"Exports of Services","2003","All countries and international organisations","Insurance","Euro Million","7691"
"Exports of Services","2003","All countries and international organisations","Financial services","Euro Million","3365"
"Exports of Services","2003","All countries and international organisations","Computer services","Euro Million","12575"
"Exports of Services","2003","All countries and international organisations","Royalties/licences","Euro Million","186"
"Exports of Services","2003","All countries and international organisations","All business services","Euro Million","6957"
"Exports of Services","2003","All countries and international organisations","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","All countries and international organisations","Business services: Other Trade related services","Euro Million","2483"
"Exports of Services","2003","All countries and international organisations","Business services: Operational leasing","Euro Million","1752"
"Exports of Services","2003","All countries and international organisations","Business services: Legal, Accounting and other professional services","Euro Million","275"
"Exports of Services","2003","All countries and international organisations","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","All countries and international organisations","Business services: Research and development","Euro Million","323"
"Exports of Services","2003","All countries and international organisations","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","All countries and international organisations","Business services: Management services between affiliates","Euro Million","335"
"Exports of Services","2003","All countries and international organisations","Business services: Other","Euro Million","1382"
"Exports of Services","2003","All countries and international organisations","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","All countries and international organisations","Other services not elsewhere stated","Euro Million","621"
"Exports of Services","2003","All countries and international organisations","Repairs and processing","Euro Million",""
"Exports of Services","2003","All offshore centres","Services total","Euro Million","1392"
"Exports of Services","2003","All offshore centres","Transport","Euro Million","0"
"Exports of Services","2003","All offshore centres","Tourism and travel","Euro Million","0"
"Exports of Services","2003","All offshore centres","Communications","Euro Million",""
"Exports of Services","2003","All offshore centres","Insurance","Euro Million","306"
"Exports of Services","2003","All offshore centres","Financial services","Euro Million","224"
"Exports of Services","2003","All offshore centres","Computer services","Euro Million",""
"Exports of Services","2003","All offshore centres","Royalties/licences","Euro Million","0"
"Exports of Services","2003","All offshore centres","All business services","Euro Million","816"
"Exports of Services","2003","All offshore centres","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","All offshore centres","Business services: Other Trade related services","Euro Million","568"
"Exports of Services","2003","All offshore centres","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","All offshore centres","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2003","All offshore centres","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","All offshore centres","Business services: Research and development","Euro Million",""
"Exports of Services","2003","All offshore centres","Business services: Architectural engineering and other technical services","Euro Million","7"
"Exports of Services","2003","All offshore centres","Business services: Management services between affiliates","Euro Million","5"
"Exports of Services","2003","All offshore centres","Business services: Other","Euro Million","110"
"Exports of Services","2003","All offshore centres","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","All offshore centres","Other services not elsewhere stated","Euro Million","0"
"Exports of Services","2003","All offshore centres","Repairs and processing","Euro Million",""
"Exports of Services","2003","International organisations","Services total","Euro Million",""
"Exports of Services","2003","International organisations","Transport","Euro Million",""
"Exports of Services","2003","International organisations","Tourism and travel","Euro Million",""
"Exports of Services","2003","International organisations","Communications","Euro Million",""
"Exports of Services","2003","International organisations","Insurance","Euro Million",""
"Exports of Services","2003","International organisations","Financial services","Euro Million",""
"Exports of Services","2003","International organisations","Computer services","Euro Million",""
"Exports of Services","2003","International organisations","Royalties/licences","Euro Million",""
"Exports of Services","2003","International organisations","All business services","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Research and development","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Other","Euro Million",""
"Exports of Services","2003","International organisations","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","International organisations","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","International organisations","Repairs and processing","Euro Million",""
"Exports of Services","2003","Argentina","Services total","Euro Million",""
"Exports of Services","2003","Argentina","Transport","Euro Million",""
"Exports of Services","2003","Argentina","Tourism and travel","Euro Million",""
"Exports of Services","2003","Argentina","Communications","Euro Million",""
"Exports of Services","2003","Argentina","Insurance","Euro Million",""
"Exports of Services","2003","Argentina","Financial services","Euro Million",""
"Exports of Services","2003","Argentina","Computer services","Euro Million",""
"Exports of Services","2003","Argentina","Royalties/licences","Euro Million",""
"Exports of Services","2003","Argentina","All business services","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Other","Euro Million",""
"Exports of Services","2003","Argentina","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Argentina","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Argentina","Repairs and processing","Euro Million",""
"Exports of Services","2003","Australia","Services total","Euro Million",""
"Exports of Services","2003","Australia","Transport","Euro Million",""
"Exports of Services","2003","Australia","Tourism and travel","Euro Million",""
"Exports of Services","2003","Australia","Communications","Euro Million",""
"Exports of Services","2003","Australia","Insurance","Euro Million",""
"Exports of Services","2003","Australia","Financial services","Euro Million",""
"Exports of Services","2003","Australia","Computer services","Euro Million",""
"Exports of Services","2003","Australia","Royalties/licences","Euro Million",""
"Exports of Services","2003","Australia","All business services","Euro Million",""
"Exports of Services","2003","Australia","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Australia","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Australia","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Australia","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Australia","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Australia","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Australia","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Australia","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Australia","Business services: Other","Euro Million",""
"Exports of Services","2003","Australia","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Australia","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Australia","Repairs and processing","Euro Million",""
"Exports of Services","2003","Belgium","Services total","Euro Million",""
"Exports of Services","2003","Belgium","Transport","Euro Million",""
"Exports of Services","2003","Belgium","Tourism and travel","Euro Million",""
"Exports of Services","2003","Belgium","Communications","Euro Million",""
"Exports of Services","2003","Belgium","Insurance","Euro Million",""
"Exports of Services","2003","Belgium","Financial services","Euro Million",""
"Exports of Services","2003","Belgium","Computer services","Euro Million",""
"Exports of Services","2003","Belgium","Royalties/licences","Euro Million",""
"Exports of Services","2003","Belgium","All business services","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Other","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Belgium","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Belgium","Repairs and processing","Euro Million",""
"Exports of Services","2003","Bermuda","Services total","Euro Million",""
"Exports of Services","2003","Bermuda","Transport","Euro Million",""
"Exports of Services","2003","Bermuda","Tourism and travel","Euro Million",""
